index,Team,Season,Country,Matches Played,Wins,Home Wins,Away Wins,Draws,Loses,Point Per Game,League Position,Rank,Goals Scored,Goals Conceded,Total Corners,Average Possession,Shots,Shots on Target,Fouls,Points Per Game Half Time,Goals Per Match,Goals Conceded Per Match,Goals Conceded At Half Time,Clean Sheet Percentage,Failed to Score Percentage,First Team to Score Percentage,Clean Sheet At Half Time Home,Failed to Score at Half Time,Leading at Half Time,Losing at Half Time,Corners Per Match,Cards Per Match
0,Borussia Dortmund,2011/2012,Germany,6,1,1,0,1,4,0.67,4,49,6,12,26,51,58,29,80,1.17,1,2,0.83,17,17,33,33,50,33,50,4.33,1.17
1,Bayern MÃ¼nchen,2011/2012,Germany,15,10,7,3,2,3,2.13,1,1,29,11,88,56,210,116,223,2.2,1.93,0.73,0.33,47,13,80,88,20,67,13,5.87,2
2,Bayer Leverkusen,2011/2012,Germany,8,3,3,0,1,4,1.25,2,22,10,18,38,44,76,41,108,0.75,1.25,2.25,0.75,13,13,13,50,75,13,50,4.75,2.5
3,Olympique Lyonnais,2011/2012,France,10,4,3,1,3,3,1.5,2,10,14,10,62,51,169,74,148,1.1,1.4,1,0.5,40,50,20,60,70,20,30,6.2,1.7
4,Arsenal,2011/2012,England,10,6,4,2,2,2,2,1,8,13,11,40,53,96,65,120,1.5,1.3,1.1,0.6,40,20,60,80,60,40,30,4,2.3
5,Napoli,2011/2012,Italy,8,4,3,1,2,2,1.75,2,11,14,11,48,43,86,38,120,1.25,1.75,1.38,0.88,25,0,50,25,38,25,25,6,2.63
6,Villarreal,2011/2012,Spain,8,1,1,0,0,7,0.38,4,55,5,15,49,49,99,44,116,0.5,0.63,1.88,1,13,63,25,50,88,0,50,6.13,3.88
7,FC Barcelona,2011/2012,Spain,12,8,4,4,3,1,2.25,1,3,35,10,71,69,210,99,105,2.42,2.92,0.83,0.42,42,17,75,50,17,75,8,5.92,1.42
8,Real Madrid,2011/2012,Spain,12,10,6,4,1,1,2.58,1,2,35,9,59,54,176,102,127,2.42,2.92,0.75,0.17,50,0,92,83,25,75,8,5.36,2.18
9,Manchester City,2011/2012,England,6,3,2,1,1,2,1.67,3,21,9,6,26,57,91,42,73,1.5,1.5,1,0.67,33,17,33,67,33,33,17,4.33,1.67
10,Manchester United,2011/2012,England,6,2,1,1,3,1,1.5,3,24,11,8,28,59,83,42,70,1.5,1.83,1.33,0.5,33,0,50,67,33,33,17,4.67,1.67
11,Chelsea,2011/2012,England,13,7,6,1,4,2,1.92,1,4,25,12,50,48,175,85,171,1.77,1.92,0.92,0.31,38,0,85,100,38,46,15,3.85,2.54
12,Valencia CF,2011/2012,Spain,6,2,2,0,2,2,1.33,3,27,12,7,34,60,87,51,73,1.5,2,1.17,0.5,33,33,50,67,50,33,17,5.67,1.83
13,Lille,2011/2012,France,6,1,0,1,3,2,1,4,40,6,6,53,57,92,42,94,1.33,1,1,0.33,33,33,50,67,67,33,33,8.83,2.5
14,Olympique Marseille,2011/2012,France,10,4,2,2,1,5,1.3,2,16,9,10,43,48,107,44,131,0.9,0.9,1,0.5,40,50,30,80,80,10,30,4.3,2.5
15,AC Milan,2011/2012,Italy,10,3,3,0,4,3,1.3,2,14,16,14,32,48,125,53,137,1.3,1.6,1.4,0.8,40,20,60,80,40,30,30,3.2,2.5
16,Udinese,2011/2012,Italy,2,0,0,0,0,2,0,0,65,1,3,10,45,26,13,27,1.5,0.5,1.5,0.5,0,50,50,100,50,50,50,5,3
17,Inter Milan,2011/2012,Italy,8,4,2,2,1,3,1.63,1,15,10,9,33,48,77,48,116,1.75,1.25,1.13,0.25,13,25,63,100,50,38,0,4.13,2
18,Bangor City,2011/2012,Wales,2,0,0,0,0,2,0,0,75,0,13,0,0,0,0,0,0,0,6.5,1.5,0,100,0,0,100,0,100,0,1.5
19,Borussia Dortmund,2014/2015,Germany,8,4,2,2,1,3,1.63,16,14,15,9,43,54,103,51,64,1.63,1.88,1.13,0.5,38,25,63,75,38,50,38,5.38,0.5
20,Schalke 04,2014/2015,Germany,8,3,1,2,2,3,1.38,10,19,13,19,38,50,83,37,92,0.5,1.63,2.38,1.25,13,25,38,0,63,0,50,4.75,1.38
21,Bayern MÃ¼nchen,2014/2015,Germany,12,8,6,2,1,3,2.08,3,4,33,13,69,65,146,67,154,2,2.75,1.08,0.42,50,17,67,83,25,58,17,5.75,2.33
22,Bayer Leverkusen,2014/2015,Germany,10,6,4,2,1,3,1.9,9,7,15,7,43,52,116,57,179,1.5,1.5,0.7,0.3,40,40,60,100,70,30,10,4.3,2.7
23,Monaco,2014/2015,Monaco,10,4,2,2,3,3,1.5,7,11,7,5,41,45,87,38,140,1.1,0.7,0.5,0.1,60,60,40,80,90,10,10,4.1,2.2
24,Arsenal,2014/2015,England,10,6,3,3,2,2,2,6,6,19,11,49,53,95,43,125,2,1.9,1.1,0.2,40,20,60,80,40,60,20,4.9,2.4
